lat,lon,region,species,elevation,start,end,source,name
46.31,100.57,asia,LASI,,1261,2002,ITRDB,mong032
49.22,94.53,asia,LASI,,1265,1997,ITRDB,mong033
49.25,107.34,asia,PISY,1027,1730,2008,ITRDB,mong034
49.56,106.12,asia,PISY,1180,1653,2008,ITRDB,mong035
50.05,106.11,asia,PISY,650,1770,2008,ITRDB,mong036
50.09,106.22,asia,PISY,650,1731,2008,ITRDB,mong037
49.24,107.18,asia,PISY,950,1626,2008,ITRDB,mong038
48.1,99.52,asia,PISI,2077,-106,2011,ITRDB,mong039
51.09,99.05,asia,LASI,2400,715,2005,ITRDB,mong040
28.25,83.45,asia,ABSB,3220,1740,1978,ITRDB,nepa001
27.45,86.05,asia,ABSB,3720,1722,1978,ITRDB,nepa002
29.17,82.03,asia,ABSB,3450,1420,1997,ITRDB,nepa003
27.26,87.11,asia,TSDU,2940,1702,1996,ITRDB,nepa004
28.27,83.24,asia,PIWA,3000,1803,1993,ITRDB,nepa005
28.18,84.11,asia,PPSP,2270,1824,1994,ITRDB,nepa006
27.24,85.15,asia,PIRO,1320,1880,1996,ITRDB,nepa007
28.29,84.06,asia,PIWA,3095,1796,1994,ITRDB,nepa008
27.26,86.17,asia,ABSB,3600,1625,1998,ITRDB,nepa009
27.25,86.16,asia,JURE,3600,1417,1998,ITRDB,nepa010
27.27,87.1,asia,ABSB,2970,1683,1996,ITRDB,nepa011
27.27,87.1,asia,TSDU,2970,1681,1996,ITRDB,nepa012
27.1,86.25,asia,ABSB,3300,1689,1998,ITRDB,nepa013
27.25,86.1,asia,ABSB,3000,1546,1998,ITRDB,nepa014
28.14,83.25,asia,ABSB,1830,1395,1997,ITRDB,nepa015
28.14,83.25,asia,TSDU,1830,1727,1997,ITRDB,nepa016
27.26,86.12,asia,ABSB,3500,1754,1998,ITRDB,nepa017
27.26,86.12,asia,JURE,3500,1445,1998,ITRDB,nepa018
29.17,82.04,asia,ABSB,3330,1530,1997,ITRDB,nepa019
29.18,82.03,asia,ABSB,3450,1741,1979,ITRDB,nepa020
27.38,87.57,asia,ABSB,3740,1525,1999,ITRDB,nepa021
27.27,86.03,asia,ABSB,3720,1725,1978,ITRDB,nepa022
29.18,82.01,asia,ABSB,3330,1602,1997,ITRDB,nepa023
29.18,82.01,asia,PCSM,3480,1671,1997,ITRDB,nepa024
29.19,82.01,asia,ULSP,2760,1566,1997,ITRDB,nepa025
27.23,87.08,asia,ABSB,2900,1712,1993,ITRDB,nepa026
27.29,87.54,asia,ABSB,3276,1561,1999,ITRDB,nepa027
27.3,86,asia,ABSB,3020,1800,1979,ITRDB,nepa028
28.07,85.16,asia,TSDU,2670,1559,1994,ITRDB,nepa029
27.28,87.1,asia,TSDU,2880,856,1996,ITRDB,nepa030
28.21,84.09,asia,ABSB,2900,1590,1979,ITRDB,nepa031
27.24,87.07,asia,ABSB,3200,1546,1996,ITRDB,nepa032
27.27,85.09,asia,PIRO,1420,1878,1996,ITRDB,nepa033
27.25,87.06,asia,ABSB,3250,1672,1996,ITRDB,nepa034
28.26,83.06,asia,ABSB,2950,1872,1993,ITRDB,nepa035
27.26,87.07,asia,ABSB,3630,1509,1996,ITRDB,nepa036
29.21,82.03,asia,PCSM,3000,1655,1979,ITRDB,nepa037
28.02,85.04,asia,ABSB,3115,1726,1996,ITRDB,nepa038
28.02,85.05,asia,TSDU,2910,1729,1996,ITRDB,nepa039
29.03,81.3,asia,PIRO,2080,1650,1979,ITRDB,nepa040
27.21,86.21,asia,TSDU,2950,1612,1994,ITRDB,nepa041
27.3,87.53,asia,TSDU,3033,1500,1999,ITRDB,nepa042
28.15,85.23,asia,ABSB,2729,1789,2007,ITRDB,nepa043
29.23,81.08,asia,ABPI,3000,1649,2012,ITRDB,nepa044
29.24,81.08,asia,PCSM,2700,1591,2012,ITRDB,nepa045
28.31,84.52,asia,ABSB,3690,1782,2010,ITRDB,nepa046
28.39,83.37,asia,ABSB,2700,1845,2012,ITRDB,nepa047
28.38,83.37,asia,ABSB,2900,1934,2012,ITRDB,nepa048
28.39,83.4,asia,ABSB,3100,1875,2012,ITRDB,nepa049
28.37,83.37,asia,ABSB,3300,1857,2012,ITRDB,nepa050
28.36,84.11,asia,ABSB,3175,1870,2013,ITRDB,nepa051
28.36,84.1,asia,ABSB,3375,1846,2013,ITRDB,nepa052
28.35,84.1,asia,ABSB,3575,1802,2013,ITRDB,nepa053
27.57,86.51,asia,BEUT,4100,1831,2011,ITRDB,nepa054
27.51,86.47,asia,ABSB,4100,1838,2011,ITRDB,nepa055
36.02,74.35,asia,JUSP,3100,1593,1993,ITRDB,paki001
36.02,74.35,asia,JUSP,3300,1369,1993,ITRDB,paki002
35.54,74.56,asia,JUSP,3050,1438,1999,ITRDB,paki003
35.54,74.56,asia,JUTU,3750,1240,1999,ITRDB,paki004
36.2,74.02,asia,JUSP,2700,1587,1993,ITRDB,paki005
36.2,74.02,asia,JUSP,3500,1032,1993,ITRDB,paki006
36.2,74.02,asia,JUSP,3900,1141,1993,ITRDB,paki007
36,75,asia,JUSP,3500,568,1990,ITRDB,paki008
36.37,74.59,asia,JUTU,3900,476,1999,ITRDB,paki009
36.35,75.05,asia,JUSP,3800,968,1990,ITRDB,paki010
36.35,75.05,asia,JUSP,3600,554,1990,ITRDB,paki011
36.35,75.05,asia,JUSP,3900,1069,1990,ITRDB,paki012
35.44,74.59,asia,JUTU,3600,1540,1999,ITRDB,paki013
35.1,75.3,asia,JUSP,3300,1412,1993,ITRDB,paki014
35.1,75.3,asia,JUSP,3700,736,1993,ITRDB,paki015
35.1,75.3,asia,JUSP,3900,388,1993,ITRDB,paki016
35.2,74.48,asia,ABPI,,1505,2005,ITRDB,paki017
35.2,74.48,asia,PIWA,,1317,2005,ITRDB,paki018
35.1,74.02,asia,JUEX,3200,1646,2007,ITRDB,paki019
35.41,71.38,asia,CDDE,,1411,2006,ITRDB,paki020
35.41,71.38,asia,PIGE,,1403,2006,ITRDB,paki021
35.54,71.44,asia,CDDE,,1537,2006,ITRDB,paki022
35.54,71.44,asia,PIGE,,1260,2006,ITRDB,paki023
35.02,74.35,asia,PCSM,,1394,2005,ITRDB,paki024
35.27,74.47,asia,JUEX,3150,1290,2007,ITRDB,paki025
35.32,74.3,asia,PIGE,2650,1738,2007,ITRDB,paki026
35.21,71.56,asia,CDDE,,1511,2006,ITRDB,paki027
35.24,74.07,asia,PIGE,,1559,2007,ITRDB,paki028
35.5,74.2,asia,PCSM,3250,1523,2008,ITRDB,paki029
35.53,74.11,asia,PCSM,,1574,2008,ITRDB,paki030
35.3,74.05,asia,CDDE,,1296,2007,ITRDB,paki031
34.02,73.23,asia,ABPI,,1678,2005,ITRDB,paki032
35.3,74.45,asia,PIGE,,1362,2007,ITRDB,paki033
35.3,74.45,asia,PIWA,,1730,2007,ITRDB,paki034
36.09,74.11,asia,JUEX,,1497,2009,ITRDB,paki035
36.09,74.11,asia,PCSM,,1387,2005,ITRDB,paki036
35.02,71.32,asia,PCSM,2530,1663,2006,ITRDB,paki037
35.39,73.32,asia,CDDE,2320,1661,2008,ITRDB,paki038
35,70.47,asia,CDDE,2480,1569,2007,ITRDB,paki039
35.21,71.48,asia,CDDE,,1472,2005,ITRDB,paki040
16.47,120.43,asia,PIKE,,1721,2005,ITRDB,ph001
31.42,35.12,asia,LADE,,815,1412,ITRDB,pse001
31.42,35.12,asia,QUSP,,1396,1848,ITRDB,pse002
66.16,30.48,asia,PISY,200,1471,2002,ITRDB,russ016
72.3,105.1,asia,LAGM,40,1580,1997,ITRDB,russ019
53.36,105,asia,PISY,700,1890,1978,ITRDB,russ020w
66.52,65.38,asia,LASI,250,914,1990,ITRDB,russ021w
66.52,65.38,asia,PCOB,250,1663,1990,ITRDB,russ022w
66.4,82.2,asia,LASI,15,1750,1990,ITRDB,russ023w
70.36,104.15,asia,LAGM,130,1563,1990,ITRDB,russ024w
69.47,119.07,asia,LAGM,130,1482,1990,ITRDB,russ025w
68.15,80.11,asia,LASI,60,1592,1990,ITRDB,russ027w
67.58,88.55,asia,LASI,160,1574,1990,ITRDB,russ028w
70.31,89.3,asia,LAGM,50,1657,1990,ITRDB,russ029w
67.58,88.55,asia,PCOB,160,1661,1990,ITRDB,russ030w
69.35,90.3,asia,PCOB,60,1640,1990,ITRDB,russ031w
66.08,71.4,asia,PCOB,80,1720,1990,ITRDB,russ032w
66.05,77.41,asia,PCOB,30,1752,1990,ITRDB,russ033w
66.49,69.17,asia,PCOB,90,1710,1990,ITRDB,russ034w
67.12,69.5,asia,LASI,90,1782,1990,ITRDB,russ035w
64.55,42.3,asia,PISY,230,1674,1991,ITRDB,russ036w
65.3,72.39,asia,PCOB,100,1794,1990,ITRDB,russ037w
70.16,103.31,asia,PCOB,130,1630,1990,ITRDB,russ038w
64.55,42.3,asia,PCAB,230,1711,1991,ITRDB,russ039w
65.36,50.38,asia,PCOB,70,1642,1990,ITRDB,russ040w
65.36,50.38,asia,PISY,75,1638,1990,ITRDB,russ041w
66.13,56.2,asia,PCOB,65,1784,1990,ITRDB,russ042w
63.26,43.33,asia,PCAB,120,1753,1990,ITRDB,russ043w
63.26,43.33,asia,LASI,120,1729,1990,ITRDB,russ044w
63.26,43.33,asia,PISY,120,1723,1991,ITRDB,russ045w
66.13,56.2,asia,PISY,65,1694,1990,ITRDB,russ046w
64.15,53.34,asia,PCOB,70,1714,1990,ITRDB,russ047w
68.36,112.15,asia,LAGM,300,1450,1990,ITRDB,russ048w
62.1,44.25,asia,PCAB,60,1732,1990,ITRDB,russ049w
66.31,122.2,asia,PISY,180,1564,1991,ITRDB,russ050w
62.1,44.25,asia,PISY,60,1699,1990,ITRDB,russ051w
62.1,44.25,asia,PISY,60,1825,1990,ITRDB,russ052w
67.27,142.37,asia,LASI,100,1311,1708,ITRDB,russ053w
65.53,145.18,asia,LADA,570,1591,1991,ITRDB,russ054w
63.23,125.48,asia,PISY,100,1568,1991,ITRDB,russ055w
66.53,51.57,asia,PCOB,35,1797,1990,ITRDB,russ056w
62.28,137.45,asia,PCOB,400,1729,1991,ITRDB,russ057w
66.53,51.57,asia,PISY,35,1653,1990,ITRDB,russ058w
69.17,125.2,asia,LADA,130,1694,1990,ITRDB,russ059w
64.55,42.3,asia,PCOB,70,1743,1991,ITRDB,russ060w
64.15,53.34,asia,LASI,70,1674,1991,ITRDB,russ061w
64.15,53.34,asia,PISY,70,1717,1990,ITRDB,russ062w
68.25,143.1,asia,LADA,45,1553,1991,ITRDB,russ063w
66.13,56.2,asia,LASI,60,1630,1990,ITRDB,russ064w
69.46,112.49,asia,LAGM,150,1564,1990,ITRDB,russ065w
62.28,137.45,asia,LADA,400,1568,1990,ITRDB,russ066w
66.41,82.18,asia,LASI,50,1307,1698,ITRDB,russ068w
69.46,112.49,asia,LAGM,150,1830,1990,ITRDB,russ069w
63.31,151.43,asia,LADA,450,1362,1991,ITRDB,russ070w
66.4,82.2,asia,PCOB,15,1674,1990,ITRDB,russ071w
60.42,51.23,asia,PCAB,155,1650,1991,ITRDB,russ072w
65.2,41.07,asia,PISY,130,1594,1990,ITRDB,russ073w
60.42,51.23,asia,PISY,160,1651,1991,ITRDB,russ074w
60.42,51.23,asia,LASI,160,1649,1991,ITRDB,russ075w
71.54,111.02,asia,LAGM,150,1625,1990,ITRDB,russ076w
71.42,118.35,asia,LAGM,140,1708,1990,ITRDB,russ077w
69.07,84.3,asia,LASI,80,1624,1990,ITRDB,russ078w
69.07,84.3,asia,LASI,80,1949,1990,ITRDB,russ079w
72.27,101.45,asia,LAGM,70,1624,1990,ITRDB,russ080w
61.22,30.54,asia,PISY,25,1715,1992,ITRDB,russ081w
66.05,77.41,asia,LASI,30,1671,1990,ITRDB,russ082w
63.23,32.19,asia,PISY,210,1650,1992,ITRDB,russ083w
65.23,72.52,asia,LASI,100,1767,1990,ITRDB,russ084w
61.09,136.34,asia,PCOB,600,1664,1992,ITRDB,russ085w
61.09,136.34,asia,LADA,600,1647,1992,ITRDB,russ086w
68.27,147.35,asia,LADA,140,1579,1991,ITRDB,russ087w
66.13,165.25,asia,LADA,500,1492,1991,ITRDB,russ088w
